,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,lagoa,2,PT,1595285338,73,39.05,-27.98,293.63,2.57
88,fraga,0,ES,1595285442,68,41.52,0.35,295.37,4.6
89,bethel,1,US,1595285443,43,41.37,-73.41,305.37,5.1
90,bengkulu,69,ID,1595285439,88,-3.8,102.27,297.43,2.42
91,vaini,0,TO,1595285417,64,-21.2,-175.2,297.15,4.1
92,guerrero negro,100,MX,1595285443,70,17.67,-100.0,299.01,0.94
93,payson,20,US,1595285401,20,40.04,-111.73,309.26,4.6
94,talnakh,90,RU,1595285440,100,69.49,88.4,283.15,4.0
95,lompoc,1,US,1595285436,64,34.64,-120.46,294.15,7.2
96,paraje nuevo,1,US,1595285337,16,35.06,-107.48,307.15,5.7
97,voi,7,KE,1595285444,81,-3.39,38.56,291.85,4.3
98,prince rupert,90,CA,1595285444,49,52.97,-108.38,296.15,3.6
99,mar del plata,90,ES,1595285444,77,43.4,-4.01,294.15,0.78
100,yenagoa,100,NG,1595285444,93,4.92,6.26,296.77,1.43
101,visnes,6,NO,1595285444,76,59.36,5.22,285.37,5.7
102,novoselytsya,0,UA,1595285444,86,48.22,26.27,289.26,0.78
103,kalengwa,0,ZM,1595285445,65,-13.47,25.0,284.5,2.91
104,kaura namoda,81,NG,1595285445,68,12.29,4.46,301.07,6.67
105,potiskum,99,NG,1595285445,70,11.71,11.07,298.66,4.89
106,east london,40,IS,1595285445,81,65.0,-15.0,282.15,3.6
107,markova,21,UA,1595285445,89,48.68,24.41,287.52,2.31
108,kahului,40,US,1595285348,46,20.89,-156.47,305.15,10.8
109,roma,40,US,1595285445,51,43.21,-75.46,301.15,6.7
110,san quintin,2,ML,1595285186,62,13.3,-4.9,301.83,4.1
111,pasighat,100,IN,1595285446,89,28.07,95.33,297.37,1.64
112,butaritari,41,KI,1595285371,68,3.07,172.79,301.45,2.27
113,tabuk,9,PH,1595285446,82,17.42,121.44,298.31,0.98
